From KnowledgeID,To CourseID
Know_1,CSCI-A110
Know_2,CSCI-A110
Know_2,CSCI-A201
Know_3,CSCI-A202
Know_4,CSCI-A202
Know_5,CSCI-A202
Know_6,CSCI-A202
Know_7,CSCI-A202
Know_8,CSCI-A216
Know_9,CSCI-A321
Know_10,CSCI-A321
Know_11,CSCI-A321
Know_12,CSCI-A321
Know_13,CSCI-A321
Know_14,CSCI-A338
Know_15,CSCI-A348
Know_6,CSCI-A348
Know_16,CSCI-A348
Know_17,CSCI-A348
Know_14,CSCI-A348
Know_9,CSCI-A521
Know_10,CSCI-A521
Know_11,CSCI-A521
Know_12,CSCI-A521
Know_13,CSCI-A521
Know_18,CSCI-A538
Know_14,CSCI-A538
Know_19,CSCI-A541
Know_20,CSCI-A541
Know_21,CSCI-A542
Know_22,CSCI-A542
Know_23,CSCI-A542
Know_24,CSCI-A542
Know_25,CSCI-A542
Know_26,CSCI-A548
Know_6,CSCI-A548
Know_16,CSCI-A548
Know_14,CSCI-A548
Know_1,CSCI-A590
Know_27,CSCI-A590
Know_2,CSCI-A591
Know_3,CSCI-A591
Know_13,CSCI-A592
Know_7,CSCI-A592
Know_29,CSCI-A592
Know_28,CSCI-A593
Know_29,CSCI-A594
Know_2,CSCI-A596
Know_2,CSCI-A597
Know_30,CSCI-B351
Know_31,CSCI-B351
Know_32,CSCI-B351
Know_33,CSCI-B355
Know_34,CSCI-B363
Know_11,CSCI-B365
Know_35,CSCI-B365
Know_36,CSCI-B365
Know_37,CSCI-B365
Know_12,CSCI-B365
Know_3,CSCI-B392
Know_38,CSCI-B401
Know_3,CSCI-B403
Know_21,CSCI-B430
Know_23,CSCI-B430
Know_39,CSCI-B433
Know_40,CSCI-B433
Know_41,CSCI-B441
Know_42,CSCI-B441
Know_43,CSCI-B443
Know_44,CSCI-B453
Know_45,CSCI-B453
Know_3,CSCI-B455
Know_46,CSCI-B455
Know_32,CSCI-B455
Know_32,CSCI-B456
Know_32,CSCI-B456
Know_47,CSCI-B461
Know_48,CSCI-B461
Know_32,CSCI-B461
Know_49,CSCI-B481
Know_47,CSCI-B481
Know_48,CSCI-B501
Know_3,CSCI-B503
Know_23,CSCI-B504
Know_50,CSCI-B504
Know_29,CSCI-B505
Know_3,CSCI-B505
Know_2,CSCI-B521
Know_2,CSCI-B522
Know_51,CSCI-B534
Know_21,CSCI-B544
Know_40,CSCI-B544
Know_25,CSCI-B546
Know_40,CSCI-B546
Know_21,CSCI-B546
Know_40,CSCI-B547
Know_52,CSCI-B547
Know_32,CSCI-B551
Know_53,CSCI-B551
Know_30,CSCI-B551
Know_46,CSCI-B555
Know_31,CSCI-B555
Know_47,CSCI-B555
Know_54,CSCI-B555
Know_55,CSCI-B555
Know_56,CSCI-B561
Know_57,CSCI-B561
Know_58,CSCI-B565
Know_36,CSCI-B565
Know_59,CSCI-B565
Know_60,CSCI-B581
Know_61,CSCI-B581
Know_62,CSCI-B599
Know_3,CSCI-B609
Know_63,CSCI-B657
Know_64,CSCI-B657
Know_65,CSCI-B659
Know_66,CSCI-B659
Know_30,CSCI-B659
Know_67,CSCI-C102
Know_2,CSCI-C200
Know_3,CSCI-C211
Know_68,CSCI-C212
Know_7,CSCI-C212
Know_1,CSCI-C212
Know_69,CSCI-C231
Know_3,CSCI-C231
Know_25,CSCI-C231
Know_69,CSCI-C241
Know_70,CSCI-C291
Know_10,CSCI-C291
Know_71,CSCI-C291
Know_72,CSCI-C291
Know_44,CSCI-C292
Know_73,CSCI-C292
Know_45,CSCI-C292
Know_2,CSCI-C295
Know_74,CSCI-C295
Know_2,CSCI-C311
Know_7,CSCI-C322
Know_75,CSCI-C323
Know_28,CSCI-C335
Know_29,CSCI-C343
Know_2,CSCI-H200
Know_3,CSCI-H211
Know_68,CSCI-H212
Know_7,CSCI-H212
Know_1,CSCI-H212
Know_69,CSCI-H241
Know_28,CSCI-H335
Know_29,CSCI-H343
Know_76,CSCI-P423
Know_51,CSCI-P434
Know_77,CSCI-P434
Know_14,CSCI-P438
Know_79,CSCI-P438
Know_43,CSCI-P442
Know_67,CSCI-P442
Know_80,CSCI-P465
Know_81,CSCI-P465
Know_2,CSCI-P523
Know_82,CSCI-P532
Know_83,CSCI-P532
Know_84,CSCI-P535
Know_85,CSCI-P535
Know_51,CSCI-P536
Know_86,CSCI-P536
Know_23,CSCI-P536
Know_14,CSCI-P538
Know_87,CSCI-P538
Know_48,CSCI-P556
Know_1,CSCI-P565
Know_88,CSCI-P565
Know_27,CSCI-P565
Know_89,CSCI-Y395
Know_90,CSCI-Y399
Know_91,CSCI-Y793
Know_1,CSCI-Y793
Know_92,ENGR-E101
Know_93,ENGR-E101
Know_94,ENGR-E110
Know_95,ENGR-E111
Know_96,ENGR-E201
Know_97,ENGR-E201
Know_43,ENGR-E201
Know_14,ENGR-E201
Know_30,ENGR-E210
Know_20,ENGR-E210
Know_98,ENGR-E210
Know_99,ENGR-E210
Know_100,ENGR-E221
Know_32,ENGR-E221
Know_101,ENGR-E221
Know_102,ENGR-E221
Know_92,ENGR-E221
Know_30,ENGR-E221
Know_103,ENGR-E222
Know_92,ENGR-E222
Know_104,ENGR-E250
Know_105,ENGR-E250
Know_106,ENGR-E299
Know_107,ENGR-E311
Know_108,ENGR-E311
Know_109,ENGR-E311
Know_43,ENGR-E312
Know_76,ENGR-E313
Know_20,ENGR-E314
Know_110,ENGR-E314
Know_111,ENGR-E314
Know_71,ENGR-E314
Know_112,ENGR-E314
Know_43,ENGR-E314
Know_113,ENGR-E315
Know_42,ENGR-E315
Know_114,ENGR-E317
Know_14,ENGR-E318
Know_115,ENGR-E318
Know_11,ENGR-E321
Know_116,ENGR-E321
Know_117,ENGR-E327
Know_60,ENGR-E327
Know_116,ENGR-E327
Know_118,ENGR-E332
Know_119,ENGR-E332
Know_120,ENGR-E332
Know_121,ENGR-E332
Know_122,ENGR-E340
Know_123,ENGR-E340
Know_124,ENGR-E340
Know_125,ENGR-E340
Know_126,ENGR-E340
Know_127,ENGR-E340
Know_128,ENGR-E340
Know_129,ENGR-E34
Know_121,ENGR-E340
Know_130,ENGR-E390
Know_35,ENGR-E434
Know_131,ENGR-E434
Know_64,ENGR-E435
Know_132,ENGR-E441
Know_133,ENGR-E441
Know_134,ENGR-E451
Know_135,ENGR-E451
Know_136,ENGR-E451
Know_137,ENGR-E483
Know_138,ENGR-E484
Know_139,ENGR-E484
Know_140,ENGR-E484
Know_141,ENGR-E484
Know_142,ENGR-E490
Know_143,ENGR-E490
Know_142,ENGR-E491
Know_143,ENGR-E491
Know_92,ENGR-E500
Know_144,ENGR-E501
Know_145,ENGR-E501
Know_135,ENGR-E501
Know_146,ENGR-E501
Know_147,ENGR-E501
Know_116,ENGR-E502
Know_148,ENGR-E502
Know_33,ENGR-E502
Know_25,ENGR-E502
Know_129,ENGR-E502
Know_149,ENGR-E503
Know_99,ENGR-E503
Know_150,ENGR-E504
Know_151,ENGR-E504
Know_134,ENGR-E505
Know_152,ENGR-E506
Know_153,ENGR-E506
Know_51,ENGR-E510
Know_104,ENGR-E511
Know_65,ENGR-E51
Know_63,ENGR-E51
Know_32,ENGR-E511
Know_154,ENGR-E513
Know_155,ENGR-E513
Know_156,ENGR-E513
Know_157,ENGR-E514
Know_20,ENGR-E514
Know_110,ENGR-E514
Know_71,ENGR-E514
Know_112,ENGR-E514
Know_111,ENGR-E514
Know_158,ENGR-E514
Know_131,ENGR-E516
Know_135,ENGR-E516
Know_159,ENGR-E517
Know_14,ENGR-E518
Know_160,ENGR-E518
Know_161,ENGR-E533
Know_61,ENGR-E533
Know_162,ENGR-E533
Know_35,ENGR-E534
Know_131,ENGR-E534
Know_64,ENGR-E535
Know_163,ENGR-E535
Know_164,ENGR-E537
Know_165,ENGR-E537
Know_166,ENGR-E537
Know_167,ENGR-E537
Know_140,ENGR-E537
Know_132,ENGR-E541
Know_134,ENGR-E551
Know_135,ENGR-E551
Know_136,ENGR-E551
Know_168,ENGR-E583
Know_141,ENGR-E584
Know_99,ENGR-E584
Know_140,ENGR-E584
Know_169,ENGR-E584
Know_170,ENGR-E616
Know_171,ENGR-E616
Know_172,ENGR-E616
Know_173,ENGR-E617
Know_35,ENGR-E616
Know_174,ENGR-E687
Know_175,ILS-Z115
Know_176,ILS-Z115
Know_177,ILS-Z115
Know_178,ILS-Z221
Know_179,ILS-Z221
Know_180,ILS-Z221
Know_181,ILS-Z331
Know_182,ILS-Z503
Know_183,ILS-Z503
Know_184,ILS-Z503
Know_185,ILS-Z503
Know_186,ILS-Z504
Know_187,ILS-Z504
Know_188,ILS-Z504
Know_189,ILS-Z511
Know_190,ILS-Z511
Know_191,ILS-Z513
Know_192,ILS-Z515
Know_6,ILS-Z517
Know_193,ILS-Z519
Know_194,ILS-Z519
Know_182,ILS-Z519
Know_195,ILS-Z532
Know_196,ILS-Z534
Know_184,ILS-Z534
Know_197,ILS-Z551
Know_198,ILS-Z556
Know_199,ILS-Z571
Know_200,ILS-Z572
Know_201,ILS-Z572
Know_202,ILS-Z573
Know_203,ILS-Z581
Know_204,ILS-Z586
Know_205,ILS-Z586
Know_206,ILS-Z636
Know_207,ILS-Z636
Know_208,ILS-Z639
Know_209,ILS-Z639
Know_47,ILS-Z639
Know_210,ILS-Z642
Know_191,ILS-Z646
Know_35,ILS-Z645
Know_211,ILS-Z657
Know_212,ILS-Z657
Know_192,ILS-Z690
Know_213,ILS-Z764
Know_184,ILS-Z764
Know_214,ILS-Z764
Know_168,ILS-Z764
Know_35,INFO-I123
Know_11,INFO-I123
Know_215,INFO-I123
Know_137,INFO-I123
Know_50,INFO-I130
Know_25,INFO-I130
Know_216,INFO-I222
Know_14,INFO-I230
Know_21,INFO-I230
Know_40,INFO-I230
Know_25,INFO-I231
Know_69,INFO-I231
Know_217,INFO-I231
Know_218,INFO-I301
Know_191,INFO-I303
Know_8,INFO-I310
Know_1,INFO-I310
Know_219,INFO-I310
Know_220,INFO-I311
Know_1,INFO-I311
Know_221,INFO-I311
Know_7,INFO-I311
Know_222,INFO-I330
Know_223,INFO-I330
Know_224,INFO-I341
Know_225,INFO-I341
Know_220,INFO-I342
Know_75,INFO-I342
Know_226,INFO-I342
Know_227,INFO-I360
Know_228,INFO-I360
Know_229,INFO-I360
Know_230,INFO-I368
Know_231,INFO-I369
Know_232,INFO-I370
Know_214,INFO-I370
Know_233,INFO-I370
Know_234,INFO-I407
Know_137,INFO-I422
Know_102,INFO-I423
Know_131,INFO-I423
Know_235,INFO-I423
Know_236,INFO-I423
Know_237,INFO-I426
Know_235,INFO-I426
Know_238,INFO-I426
Know_239,INFO-I426
Know_240,INFO-I427
Know_241,INFO-I427
Know_242,INFO-I427
Know_243,INFO-I427
Know_21,INFO-I430
Know_244,INFO-I430
Know_23,INFO-I430
Know_25,INFO-I433
Know_40,INFO-I433
Know_245,INFO-I433
Know_93,INFO-I436
Know_246,INFO-I437
Know_247,INFO-I438
Know_248,INFO-I438
Know_249,INFO-I441
Know_250,INFO-I469
Know_251,INFO-I469
Know_252,INFO-I494
Know_253,INFO-I500
Know_254,INFO-I500
Know_29,INFO-I500
Know_255,INFO-I500
Know_256,INFO-I500
Know_253,INFO-I500
Know_257,INFO-I501
Know_258,INFO-I501
Know_234,INFO-I507
Know_237,INFO-I516
Know_235,INFO-I516
Know_238,INFO-I516
Know_239,INFO-I516
Know_259,INFO-I519
Know_260,INFO-I519
Know_36,INFO-I519
Know_34,INFO-I519
Know_261,INFO-I519
Know_262,INFO-I519
Know_263,INFO-I519
Know_40,INFO-I520
Know_21,INFO-I520
Know_264,INFO-I521
Know_35,INFO-I526
Know_48,INFO-I526
Know_31,INFO-I526
Know_265,INFO-I527
Know_266,INFO-I529
Know_34,INFO-I529
Know_267,INFO-I529
Know_268,INFO-I529
Know_269,INFO-I529
Know_270,INFO-I529
Know_271,INFO-I529
Know_272,INFO-I529
Know_273,INFO-I529
Know_274,INFO-I530
Know_40,INFO-I533
Know_245,INFO-I533
Know_183,INFO-I535
Know_226,INFO-I535
Know_12,INFO-I535
Know_275,INFO-I535
Know_276,INFO-I535
Know_35,INFO-I535
Know_277,INFO-I535
Know_278,INFO-I537
Know_23,INFO-I538
Know_279,INFO-I538
Know_249,INFO-I541
Know_249,INFO-I542
Know_280,INFO-I542
Know_281,INFO-I542
Know_282,INFO-I542
Know_137,INFO-I542
Know_283,INFO-I542
Know_284,INFO-I542
Know_283,INFO-I543
Know_285,INFO-I543
Know_286,INFO-I544
Know_287,INFO-I549
Know_288,INFO-I561
Know_93,INFO-I566
Know_246,INFO-I567
Know_248,INFO-I568
Know_247,INFO-I568
Know_249,INFO-I604
Know_289,INFO-I606
Know_290,INFO-I606
Know_291,INFO-I617
Know_292,INFO-T100
Know_293,INFO-Y101
Know_294,INFO-Y101
Know_295,INFO-Y101
Know_74,INFO-Y102
Know_296,INFO-Y102
Know_297,STAT-S100
Know_298,STAT-S211
Know_130,STAT-S211
Know_69,STAT-S211
Know_137,STAT-S211
Know_299,STAT-S211
Know_300,STAT-S301
Know_137,STAT-S301
Know_301,STAT-S301
Know_46,STAT-S301
Know_302,STAT-S301
Know_303,STAT-S301
Know_304,STAT-S301
Know_305,STAT-S303
Know_306,STAT-S303
Know_307,STAT-S303
Know_137,STAT-S303
Know_301,STAT-S303
Know_303,STAT-S303
Know_11,STAT-S320
Know_308,STAT-S320
Know_301,STAT-S320
Know_301,STAT-S350
Know_308,STAT-S350
Know_309,STAT-S350
Know_303,STAT-S350
Know_310,STAT-S352
Know_308,STAT-S352
Know_311,STAT-S352
Know_312,STAT-S420
Know_308,STAT-S420
Know_53,STAT-S420
Know_297,STAT-S420
Know_313,STAT-S425
Know_308,STAT-S425
Know_53,STAT-S426
Know_310,STAT-S426
Know_314,STAT-S426
Know_315,STAT-S431
Know_316,STAT-S431
Know_317,STAT-S431
Know_318,STAT-S440
Know_319,STAT-S440
Know_320,STAT-S440
Know_321,STAT-S440
Know_322,STAT-S440
Know_323,STAT-S450
Know_301,STAT-S450
Know_324,STAT-S450
Know_325,STAT-S450
Know_326,STAT-S450
Know_327,STAT-S470
Know_137,STAT-S470
Know_328,STAT-S470
Know_36,STAT-S470
Know_35,STAT-S470
Know_329,STAT-S475
Know_330,STAT-S475
Know_331,STAT-S475
Know_332,STAT-S475
Know_333,STAT-S475
Know_334,STAT-S475
Know_335,STAT-S481
Know_11,STAT-S520
Know_308,STAT-S520
Know_336,STAT-S520
Know_337,STAT-S520
Know_338,STAT-S610
Know_339,STAT-S610
Know_340,STAT-S610
Know_341,STAT-S610
Know_342,STAT-S610
Know_339,STAT-S611
Know_120,STAT-S611
Know_10,STAT-S611
Know_343,STAT-S611
Know_13,STAT-S611
Know_312,STAT-S620
Know_308,STAT-S620
Know_53,STAT-S620
Know_313,STAT-S625
Know_308,STAT-S625
Know_344,STAT-S626
Know_37,STAT-S626
Know_314,STAT-S626
Know_11,STAT-S626
Know_345,STAT-S631
Know_318,STAT-S640
Know_346,STAT-S640
Know_320,STAT-S640
Know_321,STAT-S640
Know_322,STAT-S640
Know_323,STAT-S650
Know_347,STAT-S650
Know_301,STAT-S650
Know_324,STAT-S650
Know_325,STAT-S650
Know_326,STAT-S650
Know_327,STAT-S670
Know_137,STAT-S670
Know_328,STAT-S670
Know_36,STAT-S670
Know_35,STAT-S670
Know_348,STAT-S675
Know_332,STAT-S675
Know_330,STAT-S675
Know_331,STAT-S675
Know_333,STAT-S675
Know_334,STAT-S675
Know_335,STAT-S681
Know_349,STAT-S690
Know_130,STAT-S690
Know_350,STAT-S690
Know_340,STAT-S710
Know_351,STAT-S710
Know_352,STAT-S710
Know_353,STAT-S710
Know_354,STAT-S721
Know_355,STAT-S721
Know_356,STAT-S721
Know_357,STAT-S721
Know_358,STAT-S771
Know_358,STAT-S772
Know_349,STAT-X498
Know_350,STAT-X498
Know_130,STAT-X498
