CourseID,Description
CSCI-A110,Basic principles of computers and software. Social and lifestyle effects of information technology. Emphasis on problem solving techniques. Productivity software skills are taught using real-world projects.
CSCI-A201,Fundamental programming constructs  including loops  arrays  classes and files. General problem-solving techniques. Emphasis on modular programming  user-interface design  and developing good programming style. Not intended for computer science majors.
CSCI-A202,Advanced programming techniques: user-defined functions and types  recursion vs iteration  parameter-passing mechanisms; Classic abstract data types and algorithms. Programming style. Object-oriented programming. Web programming.
CSCI-A216,In-depth introduction to the technologies of digital hardware and software relevant to efficient multimedia communication methods. Lectures focus on computational foundations  underlying concepts  and digital methods. Laboratory provides direct experience with concepts presented in lecture  using latest available digital tools to create direct and web-based multimedia content. Lecture and laboratory.
CSCI-A290,Exploration of topics in computing.  Common topics include tools for power users.
CSCI-A338,Introduction to network principles and current network technology  both hardware and software. Network administration tools techniques. Laboratory provides practical experience.
CSCI-A538,Introduction to network principles and current network technology  both hardware and software. Network administration tools and techniques. Laboratory provides practical experience.
CSCI-A541,A high-level introduction to the many information technologies that underlie modern society for students with non-technical backgrounds.  Examples include basic ideas in computing  networking  embedded systems  GPS  SCADA   algorithms and machine learning. After completion  students should be able to partake in many high-level discussions with technical leads.
CSCI-A590,Eight-week course designed to provide foundations for using modern programming tools for applications and web development.
CSCI-A591,A first course in computer science for those intending to take advanced computer science courses. Introduction to programming and to algorithm design and analysis. Using the Scheme programming language  the course covers several programming paradigms. Lecture and laboratory.
CSCI-A592,Design of computer software systems and introduction to programming. Topics include the C++ programming language and its data structure facilities: building and maintaining large projects: shell tools and system calls. Introduction to object-oriented programming. Lecture and laboratory.
CSCI-A593,Structure and internal operation of computers. The architecture and assembly language programming of a specific computer are stressed  in addition to general principles of hardware organization and low-level software systems. Lecture and laboratory.
CSCI-A594,Systematic study of data structures encountered in computing problems; structure and use of storage media; methods of representing structured data; and techniques for operating on data structures. Lecture and laboratory.
CSCI-A596,Systematic approach to programming languages. Relationships among languages  properties and features of languages  and the computer environment necessary to use languages. Lecture and laboratory.
CSCI-A597,Fundamental programming constructs  including loops  arrays  classes  and files. General problem-solving techniques. Emphasis on modular programming  user-interface design  and developing good programming style. Not intended for computer science majors.
CSCI-B351,A survey of techniques for machine intelligence and their relation to human intelligence. Topics include modeling techniques  neural networks  problem-solving methods  heuristics  search  logic  knowledge representation  machine learning  and production systems.
CSCI-B363,The course will introduce algorithms for addressing real-world biological questions. For each topic  we will start with an important biological question and gradually present algorithms to answer this question. The course will also discuss the strategies to formulate an appropriate computation problem from a biological question to motivate algorithmic thinking.
CSCI-B365,The course objective is to study computational aspects of discovering patterns and relationships in large data. This course is designed to introduce fundamental concepts of data mining and provide hands-on experience in data collection  preprocessing  analysis  clustering and prediction.
CSCI-B392,This course focuses on training students to prepare for programming contests (such as the ACM International Collegiate Programming Contest). The students will learn to design time and space efficient algorithms to solve challenging contest problems  and produce bug-free code under the pressure of time in contest.
CSCI-B401,Fundamentals of formal language theory  computation models and computability  the limits of computability and feasibility  and program verification.
CSCI-B403,Algorithm design methodology. General methods for analysis of algorithms. Analysis of the performance of specific algorithms  such as those for searching and sorting.
CSCI-B430,This course is an extensive survey of network security. The course materials cover threats to information confidentiality  integrity  and availability in different internet layers  and defense mechanisms that control these threats.  The course also provides a necessary foundation on network security  such as cryptographic  primitives/protocols  authentication  authorization and access control technologies; and hands-on experiences through programming assignments and course projects.
CSCI-B443,Principles of processors  control units  and storage systems.  Registers  buses  microprogramming  virtual storage.  Relationship between computer architecture and system software.
CSCI-B461,Introduction to database concepts and systems. Topics include database models and systems; hierarchal  network  relational  and object-oriented; database design principles; structures for efficient data access; query languages and processing; database applications development; views; security; concurrency; recovery. Students participate in a project to design  implement  and query a database using a standard database system.
CSCI-B501,Deterministic and nondeterministic automata  regular expressions  pumping lemmas; context-free languages  parsing  pushdown automata  context-sensitive languages  LBA  LR(k) languages  closure and decidability of language classes. Turing machines  random access machines  grammars  general recursive functions  equivalence of computation models  universal machines  relative computing. Unsolvability  semi-recursive sets  Rice's Theorem. Space and time complexity. NP completeness.
CSCI-B503,Models  algorithms  recurrences  summations  growth rates. Probabilistic tools  upper and lower bounds; worst-case and average-case analysis  amortized analysis  dynamization. Comparison-based algorithms: search  selection  sorting  hashing. Information extraction algorithms (graphs  databases). Graphs algorithms: spanning trees  shortest paths  connectivity  depth-first search  breadth-first search.
CSCI-B505,The course studies the design  implementation  and analysis of algorithms and data structures as applied to real world problems. The topics include divide-and-conquer  optimization  and randomized algorithms applied to problems such as sorting  searching  and graph analysis. The course teaches trees  hash tables  heaps  and graphs.
CSCI-B521,Systematic approach to programming languages. Relationships among languages  properties and features of languages  the computer environment necessary to support language execution.
CSCI-B544,This course is an extensive survey of system and network security. Course materials cover the threats to information confidentiality  integrity and availability and the defense mechanisms that control such threats. The course provides the foundation for more advanced security courses and hands-on experiences through course projects.
CSCI-B546,This course looks at systems and protocols  how to design threat models for them and how to use a large number of current security technologies and concepts to block specific vulnerabilities. Students will use a large number of systems and programming security tools in the laboratories.
CSCI-B551,Introduction to major issues and approaches in artificial intelligence. Principles of reactive  goal-based  and utility-based agents. Problem-solving and search. Knowledge representation and design of representational vocabularies. Inference and theorem proving  reasoning under uncertainty  planning. Overview of machine learning.
CSCI-B555,Theory and practice of constructing algorithms that learn functions and choose optimal decisions from data and knowledge. Topics include: mathematical/probabilistic foundations  MAP classification/regression  linear and logistic regression  neural networks  support vector machines  Bayesian networks  tree models  committee machines  kernel functions  EM  density estimation  accuracy estimation  normalization  model selection.
CSCI-B565,Algorithmic and practical aspects of discovering patterns and relationships in large databases. The course also provides hands-on experience in data analysis  clustering and prediction. Topics include: data preprocessing and exploration  data warehousing  association rule mining  classification and regression  clustering  anomaly detection  human factors and social issues in data mining.
CSCI-B599,General principles of teaching and practical experiences that relate to teaching computer science. An important feature of the course is the micro-teaching  in which each participant prepares and delivers short lectures to the seminar participants. Each presentation is followed by critical analysis and discussion.
CSCI-B649,Special topics in systems.
CSCI-B659,Special topics in artificial intelligence.
CSCI-C102,Survey of great ideas in computing and the role of computing in the modern world. Explores how people use computing tools to realize their ideas. Emphasis on the impact of modern technology and the use of hardware and software to create solutions to everyday problems. Lecture and laboratory.
CSCI-C200,This course is an introduction  broadly  to algorithmic thinking and  specifically  to programming. It teaches the basics of programming using real world applications in natural  physical and social sciences. Students will develop ability to program by identifying problems in real world and then creating a program that solves the problem.
CSCI-C211,A first course in computer science for those intending to take advanced computer science courses. Introduction to programming and to algorithm design and analysis. Using the Scheme programming language  the course covers several programming paradigms. Lecture and laboratory.
CSCI-C212,Design of computer software systems and introduction to programming in the environment of a contemporary operating system. Topics include a modern object-oriented programming language; building and maintaining large projects; and understanding the operating system interface.
CSCI-C231,The goal of this course is for students to be introduced to the basic mathematical tools used in modern cybersecurity. The course covers introductory mathematical material from a number of disparate fields including probability theory  analysis of algorithms  complexity theory  number theory  and group theory.
CSCI-C241,Induction and recursive programs  running time  asymptotic notations  combinatorics and discrete probability  trees and lists  the relational data model  graph algorithms  propositional and predicate logic.
CSCI-C291,This course provides an introduction to programming in a Unix (Linux) environment using the C language. The key ideas to be discussed are: the Unix shell  file system and basic shell commands; the emacs text editor; and the C programming language.
CSCI-C292,This course explores the world of game development with a focus on programming for games. It provides an introduction to game programming using a state-of-the-art language (e.g.  C#) in a game engine (e.g.  Unity).
CSCI-C295,Students in this course learn and practice how to teach fundamental Computer Science concepts and skills  and investigate strategies to increase K-12 students' interest in CS with different race  gender  age  socioeconomic status  and academic background. Furthermore  this course trains undergraduate instructors in the department to better perform their duties.
CSCI-C311,Systematic approach to programming languages. Relationships among languages  properties  and features of languages; and the computer environment necessary to use languages.
CSCI-C322,Design and implementation of complex software systems and applications exploiting the object-oriented paradigm. Selection and effective utilization of object-oriented libraries and interfaces.
CSCI-C323,This course focuses on development of mobile applications for modern platforms and introduces common tools and languages used. The course will emphasize the app development cycle: application design  development  testing  publishing and distribution; development tools and emulators/simulators; user interface layout; using sensors including touch  geo-location and orientation; and data management.
CSCI-C335,Structure and internal operation of computers. The architecture and assembly language programming of a specific computer are stressed  in addition to general principles of hardware organization and low-level software systems.
CSCI-C343,Systematic study of data structures encountered in computing problems  structure and use of storage media  methods of representing structured data  and techniques for operating on data structures.
CSCI-G901,Available to graduate students who have completed all course requirements for their doctorates  have passed doctoral qualifying examinations  and have the requisite number of degree credit hours  this course provides the advanced research student with a forum for sharing ideas and problems under the supervision of a senior researcher.
CSCI-H200,Honors version of CSCI-C 200. This course is an introduction  broadly  to algorithmic thinking and  specifically  to programming. It teaches the basics of programming using real world applications in natural  physical and social sciences. Students will develop ability to program by identifying problems in real world and then creating a program that solves the problem.
CSCI-H211,Honors version of CSCI-C 211.
CSCI-H311,Honors version of CSCI-C 311.
CSCI-H343,Honors version of CSCI-C 343.
CSCI-P423,Compiler design and construction  including lexical analysis  parsing  code generation  and optimization. Extensive laboratory exercises.
CSCI-P438,Foundations of computer networks.  Networking hardware technology such as Ethernet  ATM  wireless.  Networking protocols (TCP/IP) routing  error correcting.  Network services such as DNS  Web servers  virtual private networks (VPN)  open SSL.
CSCI-P465,Analysis design  and implementation of information systems. Project specification. Data modeling. Software design methodologies. Software quality assurance. Supervised team development of a real system for a real client.
CSCI-P523,Implementation of traditional and nontraditional computer programming languages. Compilation  including lexical analysis  parsing  optimization  code generation  and testing. Run-time support  including run-time libraries  storage management  input-output. Comparison of implementation techniques. Extensive laboratory exercises.
CSCI-P532,This course will help turn motivated students into superior contributors to any small- to mid-sized commercial or open-source software project.  It takes a hands-on  learning-by-doing approach. Students are introduced to design patterns  tools  and teamwork strategies from the first assignment to the last project.
CSCI-P535,Topics in pervasive computing  such as sensors  mobility  tangibles  ambient displays  middleware  location and context-awareness; user-centered design methods  such as requirements gathering  design  prototyping and evaluation.
CSCI-P538,Layered TCP/IP architecture. LAN technologies (Ethernet  wireless  token rings). Switching. Internet addressing (IPv4  IPv6). Routing protocols. Congestion control (TCP  UDP). Applications (DNS  HTTP  peer-to-peer networks). Selection of topics including DHCP  ICMP  VPNs  multicast  security.
CSCI-P556,The main aim of the course is to provide skills to apply machine learning algorithms on real applications. We will consider fewer learning algorithms and less time on math and theory and instead spend more time on hands-on skills required for algorithms to work on a variety of data sets.
CSCI-P565,Analysis  design and implementation of software systems. Requirements specification: data and process modeling. Software design methodologies. Software quality assurance: testing and verification. Software development processes.
CSCI-P573,Not Available
CSCI-Y390,Independent research based on existing literature or original work. A report  in the style of a departmental technical report  is required.
CSCI-Y391,The student designs  programs  verifies  and documents a project assignment selected in consultation with an employer and the department.
CSCI-Y395,Develop skills and knowledge that enable you to successfully pursue your career search  both at the time of graduation and later as you progress through your career. The course covers techniques and strategies which make your job search more efficient and effective.
CSCI-Y399,The student designs  programs  verifies  and documents a project assignment selected in consultation with an employer and the department.
CSCI-Y499,Not Available
CSCI-Y790,Independent study under the direction of a faculty member  culminating in a written report.
CSCI-Y791,System development culminating in written report and a publicly available system.
CSCI-Y792,Readings and research under the supervision of the master's thesis advisor  leading to a thesis at a level admissible as a departmental technical report.
CSCI-Y793,A major software development project  possibly performed jointly with other students  documented in the public domain  and with final approval by three graduate faculty.
CSCI-Y798,Provides for participation in graduate level professional training and internship experience.
CSCI-Y799,A series of talks by researchers in computer science and closely related areas presenting their recent research. A minimum of 75% attendance and course work in the form of a written report based on the talk by any colloquium speaker are required for credit.
CSCI-Y890,Research under the direction of a member of the graduate faculty leading to a PhD dissertation.
DSCI-D590,Emphasis on new developments and research in Data Science.
DSCI-D591,Students gain professional work experience in an industry or research organization setting using skills and knowledge acquired in Data Science coursework. A written report will be required upon completion of the experience.
DSCI-D699,Independent Study under the direction of a faculty member  culminating in a written report and/or database development and/or documented laboratory experience.
ENGR-E101,Innovation and Design provides an introduction to Intelligent Systems Engineering. Students learn about engineering and the focus areas through interactive lectures and hands-on activity quests. Students present each quest with a new media to practice presenting data. Students will learn about professional development and start a digital portfolio.
ENGR-E201,This course covers modern computing devices  the computing ecosystem and introductory material in systems programming  computer architecture  operating systems and computer networks. Coursework includes fundamental concepts at the basis of modern computing systems  covering costs in time  space and energy. The curriculum includes basic operational concepts in programming  computer architecture and networking.
ENGR-E221,This course introduces important concepts about intelligent systems. It provides a basis in mathematical tools and algorithms used in AI and machine learning. It introduces optimization techniques used in Intelligent Systems II. It will describe many current examples and how they are implemented in cloud systems. The course is based on Python for data analytics.
ENGR-E299,This course introduces topics in engineering related to professionalism and ethics designed to develop ethical reasoning skills  increase ethical awareness and professionalism  and to analyze ethical dilemmas  specific to engineering. Students will learn ethical principles that can be applied in research  design and development.
ENGR-E311,This course will cover elements of circuits  such as the operation of basic circuit elements  fundamental circuit laws  and analytic techniques in both the time domain and the frequency domain. It will also cover the transistor-level design of circuits in the context of modern integrated-circuit technology.
ENGR-E312,This course introduces the basic hardware structure of a modern programmable computer  including the basic laws underlying performance evaluation.  Students will learn about processor control and data paths and how machine instructions execute simultaneously through pipelining and superscalar and multicore execution  as well as about memory and caching.
ENGR-E313,This course covers the engineering of a compiler  from scanning to parsing  semantic analysis and transformations to code generation and optimization. The emphasis of this course is on the hands-on implementations of various components using industry-standard tools.
ENGR-E317,Students will learn the development  operation  and application of high performance computing systems prepared to address future challenges demanding capability and expertise in HPC. The course is interdisciplinary combining critical elements from hardware technology and architecture  system software and tools  and programming models and application algorithms with the cross-cutting theme of performance management and measurement.
ENGR-E318,This course will cover the engineering of computer networks  considering the architecture and protocols. This course focuses on hands-on implementation and network systems construction.
ENGR-E321,This course is the entry point into the cyber-physical systems specialization.  It provides in-depth coverage of core topics in cyber-physical systems.  It will treat issues of data analysis and reactive actuation  as well as power management and mobility.  The course will explore formal models for designing and predicting system behavior.
ENGR-E340,This course introduces key computational modeling techniques for bioengineering  with a focus on cell population kinetics  cell signaling  receptor trafficking  pharmacokinetics/pharmacodynamics  and compartmental and systems physiology methods. Concepts in control theory and optimization will also be applied to steer the modeled biological systems towards design objectives.
ENGR-E390,Independent research based on existing literature or original work. A report  in the style of a departmental technical report  is required.
ENGR-E399,Variable topic. Emphasis is on new developments and research in Intelligent Systems Engineering.
ENGR-E434,This is an overview course of Big Data Applications covering a broad range of problems and solutions. It covers cloud computing technologies and includes a project. Algorithms are introduced and illustrated.
ENGR-E451,Students will learn how to model and simulate material behavior at the nanoscale. Analysis and control of shape  assembly  and flow behavior in soft nanomaterials will be discussed. Applications to engineering problems at the nanoscale will be emphasized. Optimization methods  nonequilibrium systems  and parallel computing will be covered.
ENGR-E484,This course teaches basic principles of human cognition and perception; techniques and algorithms for designing and critiquing scientific visualizations in different domains (neuro  nano  bio-medicine  IoT  smart cities); hands-on experience using modern tools for designing scientific visualizations that provide novel and/or actionable insights; 3D printing and augmented reality deployment; teamwork/project management expertise.
ENGR-E490,Engineering Capstone Design I is one of two capstone requirements for all Intelligent Systems Engineering students. Students will design engineering projects based on their areas of concentration  which will be supported by dedicated faculty members. Students may choose to conduct advanced research  develop prototypes  design new products or redesign existing products.
ENGR-E500,This course provides an introduction to Intelligent Systems Engineering and an overview of the various degree specializations that are available. ISE is a set of modern Systems Engineering areas with various interrelations. This course provides a broad introduction and details of faculty research areas.
ENGR-E502,This covers a broad range of CPS with both uses and component technologies. Robots and Smart systems are covered in some detail. Algorithms  security  control theory  software  device hardware and mechanical construction issues are covered. CPS laboratory experience will be an essential part of course. Current research opportunities are covered.
ENGR-E503,Systems Engineering (SE) can refer to several different concepts  disciplines  and technical skills needed in designing and building systems of systems.  This course covers fundamental principle and five use cases with special attention to challenges and opportunities coming from modern computing infrastructure  the internet of things and artificial intelligence.
ENGR-E504,Bioengineering (BE) and Biomedical Engineering (BME) refer to techniques to manipulate and control living organisms directly or through the development of novel tools. The first half focuses on measurement and the second half on control  with special attention to the enabling role of computation.
ENGR-E506,Understand concepts of neuro-engineering with an applied mathematics focus. Learn the principles of building intelligent machines for neuro-engineering. This is an introductory course to ISE Masters and Ph.D. program in Neuro-Engineering.  It will have guest lectures  and the basic material will be interleaved with talks on relevant Bloomington campus research.
ENGR-E513,This course covers the engineering of a compiler  from scanning to parsing  semantic analysis and transformations to code generation and optimization. The emphasis of this course is on the hands-on implementations of various components using industry-standard tools.
ENGR-E516,This course covers basic concepts on programming models and tools of cloud computing to support data intensive science applications. Students will get to know the latest research topics of cloud platforms  parallel algorithms  storage and high level language for proficiency with a complex ecosystem of tools that span many disciplines.
ENGR-E517,Students will learn about the development  operation  and application of HPC systems prepared to address future challenges demanding capability and expertise. The course combines critical elements from hardware technology and architecture  system software and tools  and programming models and application algorithms with the cross-cutting theme of performance management and measurement.
ENGR-E518,This course will cover the engineering of computer networks  considering the architecture and protocols. This course focuses on hands-on implementation and network systems construction.
ENGR-E533,This course teaches the pipeline for building state-of-the-art deep learning-based intelligent systems. It covers general training mechanisms and acceleration options that use GPU computing libraries and parallelization techniques running on high performance computing systems. The course also aims at deploying the networks to the low-powered hardware systems.
ENGR-E534,This is an overview course of Big Data Applications covering a broad range of problems and solutions. It covers cloud computing technologies and includes a project. Algorithms are introduced and illustrated.
ENGR-E537,Protoyping - materialization of concepts - is essential for design and engineering of a product. The course overviews the modern computer aided design (CAD) - computer aided manufacturing (CAM) approach to prototyping. Students will perform a case study practicum  characterizing performance envelope of fused deposition modeling (FDM) 3D printer.
ENGR-E551,Students will learn how to model and simulate material behavior at the nanoscale. Analysis and control of shape  assembly  and flow behavior in soft nanomaterials will be discussed.  Applications to engineering problems at the nanoscale will be emphasized. Optimization methods  nonequilibrium systems  and parallel computing will be covered.
ENGR-E584,Teaches basic principles of human cognition and perception; techniques and algorithms for designing and critiquing scientific visualizations in different domains (neuro  nano  bio-medicine  IoT  smart cities); hands-on experience using modern tools for designing scientific visualizations that provide novel and/or actionable insights; 3D printing and augmented reality deployment; teamwork/project management expertise.
ENGR-E591,Students gain professional work experience in an industry or research organization setting  using skills and knowledge acquired in Intelligent Systems course work.
ENGR-E599,Graduate standing. Variable topic. Emphasis is on new developments and research in Intelligent Systems Engineering.
ENGR-E687,Independent study under the direction of a faculty member  culminating in a written report and/or software development and/or systems/hardware development and/or documented laboratory experience.
ENGR-E788,Readings and research under the supervision of the master's thesis advisor  leading to a thesis at a level admissible as a departmental technical report.
ENGR-E890,Research under the direction of a member of the graduate faculty leading to a Ph.D. dissertation.
ENGR-G901,Available to graduate students who have completed all course requirements for their doctorates  have passed doctoral qualifying examinations  and have the requisite number of degree credit hours  this course provides the advanced research student with a forum for sharing ideas and problems under the supervision of a senior researcher.
ILS-G901,Available to graduate students who have completed all course requirements for their doctorates  have passed doctoral qualifying examinations  and have the requisite number of degree credit hours  this course provides the advanced research student with a forum for sharing ideas and problems under the supervision of a senior researcher.
ILS-Z115,Using the collection  assessment  analysis  and presentation skills of the intelligence community students will explore important  current policy issues including international relations  privacy  cyber security  war  and humanitarian issues. Students will become familiar with all basic intelligence functions such as the different types of INT: human intelligence  signals intelligence  etc. as well as counterintelligence  hacking  and encryption.
