CourseID,Description
ILS-Z331,This class introduces concepts and methods of identifying  collecting  analyzing  and presenting strategic intelligence from perspectives including competitive and strategic military intelligence  globalized crime  government policy  and natural disasters. We examine disruption  networks  systems theory  asymmetric warfare  organizational structure  and information warfare that have impacted modern strategy and strategic intelligence.
ILS-Z399,Study of specific topics in information and library science.
ILS-Z501,This course introduces students to the basic information sources and services among different types of libraries and information centers  including academic  public  special and school media.
ILS-Z503,Introduces students to various disciplines: approaches to the understanding  organization  representation (summarizing) and use of knowledge information. This survey looks for commonality among the approaches taken in information science  cognitive psychology  semiotics  and artificial intelligence  among others. The goal is to identify criteria for evaluation and improvement of ways to organize and represent information for future retrieval. Information systems currently used in libraries and information centers will be studied as examples. Emphasis in the course is on concepts and ideas  with appropriate attention to terminology and technology.
ILS-Z510,Description not available
ILS-Z511,Concerned with access to bibliographic information from a user-centered point of view.  Considers various database models such as flat file  relational  and hypertest in terms of text  sound  numeric  image and geographic data.  The student will design and implement databases using a variety of commercial DRMS systems.
ILS-Z513,Description not available
ILS-Z515,Description not available
ILS-Z516,Description not available
ILS-Z532,Description not available
ILS-Z534,The success of commercial search engines shows that Information Retrieval is a key in helping users find the information they seek. This course provides an introduction to information retrieval theories and concepts underlying all search applications. We investigate techniques used in modern search engines and demonstrate their significance by experiment.
ILS-Z542,Description not available
ILS-Z543,Description not available
ILS-Z555,Description not available
ILS-Z571,An overview of materials for educational  informational  and literary use by children and young adults with an emphasis on critical selection and analysis  knowledge of age-level developmental stages  and motivational techniques. Includes print  film  video and TV  computer software formats.
ILS-Z581,Description not available
ILS-Z583,Description not available
ILS-Z584,Description not available
ILS-Z601,Description not available
ILS-Z602,Description not available
ILS-Z603,Description not available
ILS-Z604,Content and instructors will vary.
ILS-Z605,Description not available
ILS-Z636,Explores the technologies of the Semantic Web by examining the application of technologies to WWW information delivery and the principles of formal logic and computation guiding their developments.
ILS-Z639,This course provides a graduate-level introduction to social media mining and methods. The course provides hands-on experience mining social data for social meaning extraction (focus on sentiment analysis) using automated methods and machine learning technologies. We will read  discuss  and critique claims and findings from contemporary research related to SMM.
ILS-Z642,Application of Content Analysis methods to web documents  interactivity features  and links.
ILS-Z645,This course surveys organizational  legal  political  and social issues surrounding the creation  dissemination and use of big data from the perspective of social and organizational informatics. It focuses on ways in which the integration of big data is changing structure  culture  and work practices in private and public sector organizations.
ILS-Z652,Description not available
ILS-Z680,Description not available
ILS-Z684,Description not available
ILS-Z690,The capstone course integrates within a single project the theoretical and practical components of the Information Architecture Certificate program.  Working with one of the program co-directors  who serves as the student's project advisor  the student will determine both the scope and the extent of the project.  The student will publicly present and defend the capstone project upon completion.
ILS-Z701,Description not available
ILS-Z702,Student acquires practical hands-on experience with the research process through involvement in a SLIS faculty member's research project.
ILS-Z703,Student acquires practical  hands-on experience with the research process through involvement in a ILS faculty member's research project.  The ILS-Z 703 research project should differ substantially from the ILS-Z 702 project with which the student was involved.
ILS-Z710,The student applies methods of research under the supervision of an ILS faculty member. The research project may originate with the student or may be one on which the faculty member seeks student assistance.
ILS-Z764,A doctoral seminar in IS introduces students to topic areas within the domain of information science (e.g.  social informatics  scientometrics  information retrieval  representation and organization of resources  philosophy of information  human computer interaction  visualization). It is a reading-and-writing intensive experience and emphasizes depth over breadth.
ILS-Z765,Independent research or study.
ILS-Z790,Description not available
ILS-Z799,Description not available
INFO-G599,Master's students who have enrolled in 30 or more hours of graduate course work applicable to the degree and who have completed all other requirements of the degree except the thesis of final project of performance may enroll in G599.  Requires section authorization.
INFO-G901,Available to graduate students who have completed all course requirements for their doctorates  have passed doctoral qualifying examinations  and have the requisite number of degree credit hours  this course provides the advanced research students with a forum for sharing ideas and problems under the supervision of a senior researcher.
INFO-H101,Description not available
INFO-I101,Problem solving with information technology; introduction to information representation  relational databases  system design  propositional logic  cutting edge technologies; CPU  operating systems  networks; laboratory emphasizing information technology including webpage design  word processing  and databases using tools available on campus.
INFO-I123,Data is big. Data is everywhere. How can we possibly be expected to keep up in a world full of data  much of which is data about ourselves? This class provides fundamental skills for the 21st century: understanding data  extracting knowledge from data  generating predictions from data and presenting data.
INFO-I130,This course introduces students to Cybersecurity. The course will primarily focus on introduction to three core areas (technical aspects of security  organizational aspects of security  and legal aspects of security). Through examples of security problems in real life  this course will illuminate fundamental ideas and concepts of information security.
INFO-I201,An introduction to methods of analytical  abstract and critical thinking  deductive reasoning; and logical and mathematical tools used in information sciences. Topics include propositional and predicate logic  natural deduction proof system  sets  functions and relations  proof methods in mathematics  mathematical induction  and graph theory.
INFO-I202,Introduction to key social research perspectives and literatures on the use of information and communication technologies.  Discusses current topics such as information ethics  relevant frameworks  popular and controversial uses of technology (e.g.  peer-to-peer file sharing)  digital divides  etc.  Outlines research methodologies for social informatics.
INFO-I210,This course introduces software architectures of information systems and basic concepts and procedures of system and application development. Course topics include PHP programming syntax; procedural programming fundamentals; principles of developing dynamic  database-driven applications for the World Wide Web; relational database concepts; and basic MySQL statements.
INFO-I211,Description not available
INFO-I222,"In this course  students will learn to think critically about what it means to live in an ""Information Society.""  From printing press to telephone to computer to the Internet  they will explore the history and social implications of the various information revolutions that shaped contemporary commercial  scientific  organizational  political life."
INFO-I230,This course will allow students to re-evaluate and conceptualize material learned in discrete courses to consider the topics from the perspective of security. For example  computer system basics such as hardware (CPU  memory  ...) and software are reconsidered from the perspective of how their interactions create vulnerabilities. Vulnerabilities that combine standard hardware and software configurations will be examined  as these illuminate both security and computer networks. Operating systems and file systems are examined from the perspective of access control  permissions and availability of system services  etc.
INFO-I231,Introduces the basic mathematical tools used in modern cybersecurity. Covers mathematical material from a number of disparate fields  including probability theory  analysis of algorithms  complexity theory  number theory  and group theory.
INFO-I300,An intermediate course that teaches students how to assess the usability of software through quantitative and qualitative methods  including conducting task analyses  usability studies  heuristic inspections  interviews  surveys  and focus groups.  The course also introduces students to the tool and techniques for designing and testing user interfaces based on a human-centered methodology.
INFO-I301,"Students present several different types of presentations and engage in developing these ""21st Century skills"" for their future.  The course utilizes an open studio format that allows students to explore public speaking to better prepare for future educational and professional presentations."
INFO-I308,Description not available
INFO-I310,The study of the evolution of media arts and underlying principles of communication.  Application development paradigms in current practice.
INFO-I311,This undergraduate course uses a professional development environment to teach advanced programming skills using an object oriented programming language.  Topics include primitive data types  mathematical functions  string manipulation  arrays  logical statements  loops  methods  classes  inheritance  debugging  exception handling  graphical user interfaces (GUIs)  and version control software.
INFO-I330,This course will examine that set of ethical and legal problems more tightly bound to the issues of information control. The interaction and technology changes but the core issues have remained: privacy; intellectual property; internet law; concepts of jurisdiction; speech anonymity versus accountability; and ethical decision-making in the network environment.
INFO-I360,Hands-on introduction to the core standards required for professional front-end web design and development (HTML/CSS/Bootstrap). You will create websites  plus learn how web content and style work together  how to make professional choices about web graphics and layout  and how to analyze and critique a website's design and structure.
INFO-I368,Friends  computers  the Web  and our brain are examples of networks that pervade our lives. Network science helps us understand complex patterns of connection  interaction  and relationships in many complex systems. Students learn essential concepts and core ideas of network literacy  and basic tools to handle social and information networks.
INFO-I370,UX/UI Design uses a variety of approaches for obtaining human-centered information and requirements for the design and development of systems and applications. The course surveys key methods  current and emergent  in the field of Human Computer Interaction and Interaction Design to prepare students for a career in IT.
INFO-I390,Independent research based on existing literature or original work. A report  in the style of a departmental technical report  is required.
INFO-I391,Students gain professional work experience in an industry or research organization setting  using skills and knowledge acquired in informatics course work.
INFO-I399,Variable topics. Emphasis is on new developments and research in informatics.
INFO-I400,Variable topics. Emphasis is on new developments and research in informatics.
INFO-I407,This is a combined advanced undergraduate and graduate course that provides an introduction to health informatics. By the end of the course  students will be able to describe and apply informatics methods that improve health and well being.
INFO-I422,From dashboards in a car to cutting-edge scientific papers  we extensively use visual representation of data. As our world becomes increasingly connected and digitized and as more decisions are being driven by data  data visualization is becoming a critical skill for every knowledge worker.  In this course we will learn fundamentals of data visualization and create visualizations that can provide insights into complex datasets.
INFO-I423,The Big Data Applications & Analytics course is an overview course in Data Science and covers the applications and technologies (data analytics and clouds) needed to process the application data. It is organized around rallying cry: Use Clouds running Data Analytics Collaboratively processing Big Data to solve problems in X-Informatics.
INFO-I426,This course teaches students the skills needed to design and deploy informatics technologies in emergency response and disaster situations  including practical applications. Specific areas include technology design  situational awareness  threat modeling  and data science.
INFO-I427,Techniques and tools to automatically crawl  parse  index  store  and search web information  organizing knowledge that can help meet the needs of organizations  communities and individual users. Social and business impact of search engine technology. As a project  students will build a real search engine and compare it with Google.
INFO-I430,An extensive survey of network security. Covers threats to information confidentiality  integrity  and availability in different Internet layers  and defense mechanisms which control these threats. Also provides a necessary foundation on network security  such as cryptographic primitives/protocols  authentication  authorization  and access control technologies.  Hands-on experiences through programming assignments and course projects.
INFO-I436,This course teaches students the process of innovation  specifically in respect to technological innovation. Students are required to ideate technological concepts given a set of constraints and an opportunity space. The focus of the course is on students inventing and implementing without considering the commercial potential of their innovations.
INFO-I441,Human-computer interaction design (HCID) describes the way a person or group accomplishes tasks with a computer - what the individual or group does and how the computer responds; what the computer does and how the individual or group responds. This course will be organized a collection of readings and three design projects applying human-computer interaction principles to the design  selection  and evaluation of interactive systems.
INFO-I453,Ethical and professional issues that arise in the context of designing and using networked information technologies and information resources.  Examines frameworks for making ethical decisions  emergent technologies and their ethical implications  information/computer professionalism.  Topics include privacy  intellectual property  cybercrime  games  social justice  and codes of professional ethics.
INFO-I490,Provides for participation in professional training and internship experience.
INFO-I491,Students put their informatics education to practice through the development of a substantial project while working in a professional information technology environment.
INFO-I492,SENIOR THESIS
INFO-I493,SENIOR THESIS
INFO-I494,Description not available
INFO-I499,Description not available
INFO-I500,An introduction to fundamental principles of computer concepts for Informatics study  including an overview of computer architecture  computer algorithms  fundamentals of operating systems  data structure  file organization and database concepts.
INFO-I501,The course deals with the foundations of Informatics as an interdisciplinary field. We will study concepts such as Information  Technology  Knowledge  Modeling  and their impact on science and society. The course will also attempt to define and understand what computational and systems thinking can bring to science and society.
INFO-I507,This is a combined advanced undergraduate and graduate course that provides an introduction to health informatics. By the end of the course  students will be able to describe and apply informatics methods that improve health and well being.
INFO-I516,This course teaches students the skills needed to design and deploy informatics technologies in emergency response and disaster situations  including practical applications. Specific areas include technology design  situational awareness  threat modeling  and data science.
INFO-I519,Sequence alignment and assembly; RNA structure  protein and molecular modeling; genomics and proteomics; gene prediction; phylogenetic analysis; information and machine learning; visual and graphical analysis bioinformatics; worldwide biologic databases; experimental design and data collection techniques; scientific and statistical data analysis; database and data mining methods; and network and Internet methods.
INFO-I520,This course is an extensive survey of system and network security. Course materials cover the threats to information confidentiality  integrity and availability and the defense mechanisms that control such threats.  The course provides the foundation for more advanced security courses and hands-on experiences through course projects.
INFO-I521,This course is designed to be research and hands-on oriented. Students are required to read and present research papers that reflect the state of the art in malware-related research and participate in course projects that expose them to the cutting-edge technologies on malware defense.
INFO-I526,The main aim of the course is to provide skills to apply machine learning algorithms on real applications. We will consider fewer learning algorithms and less time on math and theory and instead spend more time on hands-on skills required for algorithms to work on a variety of data sets.
INFO-I527,The aim of this course is to provide students with the ability to design and implement novel interactions with mobile and pervasive technologies. We will discuss interaction paradigms and explore different technologies. Students will design  build  implement and refine mobile and pervasive computing applications for their domain of interest.
INFO-I535,Innovation today is emerging from a preponderance of data from sensors  social media  and the Internet.  This course covers knowledge representation  data process  and data management for big and complex data.   Specific topics include data integration  semantics  and provenance; workflows and pipelines; and distributed noSQL stores.
INFO-I541,Human-computer interaction design (HCID) describes the way a person or group accomplishes tasks with a computer: what the individual or group does and how the computer responds; what the computer does and how the individual or group responds. Sometimes known as 'interface design ' HCID becomes increasingly important as computing intelligence and connectivity spread ubiquitously to home  work  and play environments. This course will be organized around a collection of readings and several design projects concerned with applying human-computer interaction principles to the design  selection  and evaluation of interactive systems.
INFO-I542,"""Foundations of HCI"" offers a survey overview of the field of Human-Computer Interaction Design. It introduces the main themes of HCI set generally in a historical context. Themes include interaction design  cognitive modeling  distributed cognition  computer-supported cooperative work  data visualization  ubiquitous computing  affective computing  and domestic computing  among others."
INFO-I544,"Accompanying its move from workplace productivity into culture-at-large  HCI is increasingly concerned with designing engaging user experiences. ""Experience Design"" is an interdisciplinary course that brings anthropological  philosophical  design  and technological perspectives together to explore novel ways to research  design  and evaluate qualities of user experience."
INFO-I549,Prototyping is the activity of exploring a design space and developing design ideas. The course will cover issues surrounding the construction of prototypes (e.g.  breadth  depth  look  interaction  low/high  vertical/horizontal  etc.). Students will practice manipulating different prototyping materials  both physical and digital  and learn about different prototype evaluation techniques.
INFO-I552,Independent readings and research under the direction of a faculty member culminating in a written report.
INFO-I554,Independent readings and research under the direction of a faculty member  culminating in a written report.
INFO-I561,This course is a continuation of Human-Computer Interaction Design I  emphasizing the justification of design effectiveness.
INFO-I566,This course teaches students the process of innovation  specifically in respect to technological innovation. Students are required to ideate technological concepts given a set of constraints and an opportunity space. The focus of the course is on students inventing and implementing without considering the commercial potential of their innovations.
INFO-I590,Variable topic. Emphasis is on new developments and research in informatics.
INFO-I591,Students gain professional work experience in an industry or research organization setting  using skills and knowledge acquired in informatics course work.
INFO-I601,The course will cover fractals  emergent behavior  chaos theory  cooperative phenomena  and complex networks. Students will learn how to think differently about complex realities  finding ways to understand their complexity and addressing the problems they pose.
INFO-I617,Description not available
INFO-I692,The student prepares and presents thesis or project in an area of bioinformatics. The product is substantial  typically a multi-chapter paper or carefully designed and evaluated application  based on well-planned research or scholarly project. Details are worked out between student and sponsoring faculty member.
INFO-I694,The student prepares and presents a thesis or project in an area of human-computer interaction. The product is substantial  typically multi-chapter paper  or a carefully designed and evaluated application  based on well-planned research or scholarly project. Details are worked out between the student and sponsoring faculty member.
INFO-I698,Research  not dissertation-related  under the direction of a member of the graduate faculty.
INFO-I699,Description not available
INFO-I709,Ph.D. student introduction to major historical and emerging theories  methods  technologies  and applications in Informatics and its sub-areas.  Provides students with opportunities to explore relevant research literature  results  and applications.  Seminar II  unlike Seminar I  focuses on recent advances in sub-areas of Informatics.
INFO-I790,Working with faculty to investigate research opportunities.
INFO-I798,Participation in graduate level professional training and internship experience.
INFO-I890,Research under the direction of a member of the graduate faculty leading to a Ph.D. dissertation.
INFO-Y100,Technology is everywhere and how it relates to the world today is very important to the future.  The objective of this course is to offer students an opportunity to explore the many tracks within the fields of Informatics and Computer Science  while also learning about the multiple careers available to students majoring in the fields.
INFO-Y101,This course will focus on developing student leaders by providing resources and tools to empower them in setting goals  teamwork  communication  and decision-making skills. Students will have an opportunity to interact and develop relationships with School of Informatics and Computing faculty  staff  alumni  upper class students  and conduct research.
INFO-Y395,Develop skills and knowledge that enable you to successfully pursue your career search  both at the time of graduation and later as you progress through your career. The course covers techniques and strategies which make your job search more efficient and effective.
STAT-G901,Available to graduate students who have completed all course requirements for their doctorates  have passed doctoral qualifying examinations  and have the requisite number of degree credit hours  this course provides the advanced research student with a forum for sharing ideas and problems under the supervision of a senior researcher.
STAT-S100,Experiments and observational studies  summarizing and displaying data  relationships between variables  quantifying uncertainty  drawing statistical inferences.
STAT-S211,Essential statistical concepts and tools for journalists in the age of data  including probability  graphics  descriptive statistics  prediction  study design  comparison  testing  and estimation. The course has a heavier emphasis on writing and reading media reports than other introductory statistics courses.
STAT-S301,Introduction to methods for analyzing data arising in business  designed to prepare business students for the Kelley School's Integrative Core. Graphical and numerical descriptions of data  probability models  fundamental principles of estimation and hypothesis testing  applications to linear regression and quality control. Microsoft Excel used to perform analyses.
STAT-S303,Introduction to methods for analyzing data arising in the life sciences  designed for Biology  Human Biology  and pre-medical students. Graphical and numerical descriptions of data  probability models  fundamental principles of estimation and hypothesis testing  inferences about means  correlation  linear regression.
STAT-S350,Formulation of statistical inference using probability models. Point estimation  hypothesis testing  and set estimation for various models  including 1-  2-  and K-sample location problems  goodness-of-fit  correlation and regression.
STAT-S352,Intermediate-level survey of resampling  likelihood  and Bayesian methods of statistical inference.  Distributional models of various data types.  Categorical  count  time-to-event  time series  linear models  and hierarchical regression models.
STAT-S425,Survey of methods for statistical inference that do not rely on parametric probability models.  Statistical functionals  bootstrapping  empirical likelihood.  Nonparametric density and curve estimations.  Rank and permutation tests.
STAT-S426,Introduction to the theory and practice of Bayesian inference. Prior and Posterior probability distributions. Data collection  model formulation  computation  model checking  sensitivity analysis.
STAT-S431,Part I of a two-semester sequence on linear models. This part presents the analysis of simple and multiple linear regression in the presence of simple and complex regressors. In addition  transformations  regression diagnostics  influence analysis  and regression shrinkage methods are introduced.
STAT-S470,Techniques for summarizing and displaying data.  Exploration versus confirmation.  Connections with conventional statistical analysis and data mining.  Applications to large data sets.
STAT-S475,Data-analytic methods for exploring the structure of high-dimensional data.  Graphical methods  linear and nonlinear dimension reduction techniques  manifold learning.  Supervised  semi-supervised  and unsupervised learning.
STAT-S520,Basic concepts of data analysis and statistical inference  applied to 1-sample and 2-sample location problems  the analysis of variance  and linear regression. Probability models and statistical methods applied to practical situations and actual data sets from various disciplines. Elementary statistical theory  including the plug-in principle  maximum likelihood  and the method of least squares.
STAT-S610,Introduction to R from a software engineering perspective and an introduction to algorithms commonly used in applied statistics. Optimization algorithms including gradient descent  stochastic gradient descent  the EM algorithm  and topics in convex optimization. Stochastic algorithms including rejection sampling  Metropolis-Hastings  and Gibbs sampling.
STAT-S625,Survey of methods for statistical inference that do not rely on parametric probability models.  Statistical functional  bootstrapping  empirical likelihood.  Nonparametric density and curve estimation.  Rank and permutation tests.
STAT-S626,Introduction to the theory and practice of Bayesian inference. Prior and posterior probability distributions. Data collection  model formulation  computation  model checking  sensitivity analysis.
STAT-S631,Part I of a 2-semester sequence on linear models  emphasizing linear regression and the analysis of variance  including topics from the design of experiments and culminating in the general linear model.
STAT-S670,Numerical and graphical techniques for summarizing and displaying data.  Exploration versus confirmation.  Connections with conventional statistical analysis and data mining.  Applications to large data sets.
STAT-S675,Data analytic methods for exploring the structure of high-dimensional data.  Graphical methods  linear and nonlinear dimension reduction techniques  manifold learning.  Supervised  semi-supervised  and unsupervised learning.
STAT-S690,Development of effective consulting skills  including the conduct of consulting sessions  collaborative problem-solving  using professional resources  and preparing verbal and written reports.  Interactions with clients will be coordinated by the Indiana Statistical Consulting Center.
STAT-S695,Supervised reading of a topic in statistics.
STAT-S710,Survey of numerical methods in statistics.  Matrix factorizations and algorithms for linear regression.  Nonlinear optimization  maximum likelihood and nonlinear regression.  Pseudorandom number generation and Monte Carlo methods.
STAT-S721,Mathematical introduction to major areas of statistical theory and practice  including statistical models  sufficiency  likelihood inference  estimation and testing  Bayesian inference  decision theory  equivariance  and optimality of test statistics.
STAT-S771,This course introduces Ph.D. students in the Department of Statistics to an in-depth cross-disciplinary research experience  emphasizing the role of statistics in solving a scientific  technological  or policy problem.  Each student identifies a research project  forms an advisory committee  and provides interim written and oral progress reports throughout the remainder of the semester.
STAT-S772,Second semester of a two-semester sequence.  Ph.D. students in the Department of Statistics complete the cross-disciplinary projects they began in STAT-S 771.
STAT-S785,Professional development for Ph.D. students in statistics.  Topics in statistical theory will be used to provide students with experience in preparing presentations  posters  referee reports  grant proposals  etc.
STAT-S799,Research in statistics.
STAT-X490,Supervised reading of a topic in statistics.
